Sl No,Level,Country,Number of Vote,Date of Votes,eng,ger,fre,ita,spa,por,jpn,chi,rus,Number of Yes-Votes in National Council,Number of No-Votes in National Council,Number of Abstentions in National Council,Number of Yes-Votes in States Council,Number of No-Votes in States Council,Number of Abstentions in States Council,Recommendation of Government,Total Electorate,Citizen Abroad,Number Of Voters,Empty Ballot Sheets,Invalid Ballot Sheets,Yes Votes,No Votes,Number of States accepting,Number of States rejecting,Linked Vote Status,Linked Vote,Without Response,Tie-Break Question: Number of People Supporting,Tie-Break Question: Number of State Supporting,Tie-Break Question: Without Response,Institutions,Number of Signatures,Number of Cantons attained (Referendum),Committee name,Comments,Theme codes,Turnout,Valid Ballot Sheets,Yes [%],No [%],Result,Def. Result
102,Country,Switzerland,492,24/11/2002,Law on compulsory unemployment insurance and compensation for insolvency,Aenderung des Bundesgesetzes über die obligatorische Arbeitslosenversicherung und die Insolvenzentschädigung (Arbeitslosenversicherungsgesetz  AVIG),Modification de la loi fédérale sur l'assurance-chômage obligatoire et l'indemnité en cas d'insolvabilité (Loi surl'assurance-chômage LACI),"Modifica della legge federale sull'assicurazione obbligatoria contro la disoccupazione e l'indennità per insolvenza (Legge sull'assicurazione contro la disoccupazione, LADI)",,,,,,114,58,15,36,5,,Acceptance,4749962,82822,2262130,50862,10019,1234623,966626,,,none,,,,,,Optional Legislative Referendum (Federal Statutes),66700,,,Note concernant le canton des Grisons Suite aux intempéries survenues le 16 novembre 2002  les deux communes grisonnes de Pigniu et de Schlans se sont trouvées dans limpossibilité douvrir leurs locaux de vote aux heures prescrites afin de permettre à leurs électeurs dexercer leur droit de vote. Les résultats de ces deux communes sont donc incomplets. Ces deux communes comptaient au total 119 électeurs (état au 24 novembre 2002). Or  compte tenu des résultats globaux obtenus dans le canton des Grisons  lécart séparant le total des «oui» du total des «non» pour chacun des deux objets soumis au vote est tel que ni le résultat du canton ni le résultat total de la Confédération nauraient pu être influencés par la participation de tous les électeurs des deux communes.,Refugees | none | none,47.62,2201249,56.09,43.91,yes,
103,Country,Switzerland,489,22/09/2002,"Counter-proposal to people's initiative ""Gold for pension funds of cantons and foundations""",Gegenentwurf der Bundesversammlung Gold für AHV  Kantone und Stiftung,"«L'or à l'AVS, aux cantons et à la Fondation» (contre-projet à l'initiative sur l'or)","""L'oro all'AVS, ai Cantoni e alla Fondazione"" (controprogetto all'iniziativa popolare ""per destinare le riserve d'oro eccedentarie della Banca nazionale svizzera al Fondo AVS [Iniziativa sull'oro]"")",,,,,,141,41,3,33,5,,Acceptance,4743888,81327,2143027,10997,9663,984537,1057398,6.5,16.5,linked,"Citizen's initiative ""Surplus gold reserves for the old age-  widows- and orphans insurance fund (gold initiative)""",80432,1020309,15,148742,Constitutional Referendum (Counter-draft),125372,,Schweizerische Volkspartei SVP Union Démocratique du Centre UDC Unione Democratica di Centro UDC,,Monetary policy | Pension insurance | none,45.17,2122367,48.22,51.78,no,
104,Country,Switzerland,489,22/09/2002,"""Surplus gold reserves for the old age-, widows- and orphans insurance fund (Gold initiative)""",Volksinitiative 'Überschüssige Goldreserven in den AHV-Fonds (Goldinitiative)' und über den Gegenentwurf 'Gold für AHV  Kantone und Stiftung',Initiative populaire «Pour le versement au fonds AVS des réserves d'or excédentaires de la Banque nationale suisse (Initiative sur l'or)» et le contre-projet «L'or à l'AVS aux cantons et à la Fondation»,"Iniziativa popolare ""per destinare le riserve d'oro eccedentarie della Banca nazionale svizzera al Fondo AVS (Iniziativa sull'oro)""",,,,,,41,141,0,5,33,3,Rejection,4743888,81327,2143027,10997,9663,984058,1085072,6,17,linked,Counter-proposal (Gold for pension  funds  cantons and foundations),53237,953316,8,148742,Initiative (Formulated Draft),125372,,Schweizerische Volkspartei SVP Union Démocratique du Centre UDC Unione Democratica di Centro UDC,,Monetary policy | Pension insurance | Intergovernmental relations,45.17,2122367,47.56,52.44,no,
105,Country,Switzerland,490,22/09/2002,Law on the electricity sector,Elektrizitätsmarktgesetz (EMG),Loi sur le marché de l'électricité (LME),Legge sul mercato dell'energia elettrica (LMEE),,,,,,160,24,8,36,2,,Acceptance,4743888,81327,2125214,62974,11058,972770,1078412,,,none,,,,,,Optional Legislative Referendum (Federal Statutes),67575,,,,Energy policy | none | none,44.8,2051182,47.42,52.58,no,
106,Country,Switzerland,487,02/06/2002,Amendment to Swiss criminal code (Abortion),Aenderung des Schweizerischen Strafgesetzbuches (Schwangerschaftsabbruch),Modification du code pénal suisse (Interruption de grossesse),Modifica del Codice penale svizzero (Interruzione della gravidanza),,,,,,107,69,9,22,20,,Acceptance,4731017,80668,1978123,30008,8465,1399545,540105,,,none,,,,,,Optional Legislative Referendum (Federal Statutes),160127,,,,Criminal law | Status of women | none,41.81,1939650,72.15,27.85,yes,
107,Country,Switzerland,488,02/06/2002,"""For mother and child - protection of the unborn child and assistance for mothers in need""",Volksinitiative 'für Mutter und Kind - für den Schutz des ungeborenen Kindes und für die Hilfe an seine Mutter in Not',Initiative populaire «Pour la mère et l'enfant»,"Iniziativa popolare ""per madre e bambino""",,,,,,8,156,14,0,39,,Rejection,4731017,80668,1972596,32912,8382,352432,1578870,,23,none,,,,,,Initiative (Formulated Draft),105001,,Initiativkomitee Schweizerische Hilfe für Mutter und Kind comité d'initiative Aide suisse pour la mère et l'enfant comitato d'iniziativa Aiuto svizzero per madre e bambino,,Criminal law | Fundamental rights | Status of women,41.69,1931302,18.25,81.75,no,
108,Country,Switzerland,485,03/03/2002,"""For Switzerland's membership of the United Nations""",Eidgenössische Volksinitiative 'für den Beitritt der Schweiz zur Organisation der Vereinten Nationen (UNO)',Initiative populaire fédérale «Pour l'adhésion de la Suisse à l'Organisation des Nations Unies (ONU)»,Iniziativa popolare federale 'per l'adesione della Svizzera all'Organizzazione delle Nazioni Unite (ONU)',,,,,,147,39,0,37,3,,Acceptance,4721320,77480,2758925,20386,11800,1489110,1237629,12,11,none,,,,,,Initiative (Formulated Draft),124772,,Vereinigung Volksinitiative Beitritt der Schweiz zur UNO (VVBSUNO) Vereinigung Volksinitiative Beitritt der Schweiz zur UNO (VVBSUNO) Vereinigung Volksinitiative Beitritt der Schweiz zur UNO (VVBSUNO),,UN | none | none,58.44,2726739,54.61,45.39,yes,
109,Country,Switzerland,486,03/03/2002,"""For a shorter working week""",Eidgenössische Volksinitiative 'für eine kürzere Arbeitszeit',Initiative populaire fédérale «Pour une durée du travail réduite»,Iniziativa popolare federale 'per una durata ridotta del lavoro',,,,,,54,125,13,5,37,,Rejection,4721320,77480,2750779,30981,11665,686935,2021198,,23,none,,,,,,Initiative (Formulated Draft),108296,,Schweizerischer Gewerkschaftsbund SGB Union syndicale suisse USS Unione sindacale svizzera USS,,Working hours | none | none,58.26,2708133,25.37,74.63,no,
110,Country,Switzerland,480,02/12/2001,"Debt reduction (""Debt break"")",Bundesbeschluss über eine Schuldenbremse,Arrêté fédéral concernant un frein à l'endettement,Decreto federale sul freno all'indebitamento,,,,,,127,64,1,34,6,,Acceptance,4712223,78553,1782381,38522,6510,1472259,265090,23,,none,,,,,,Constitutional Referendum (Partialrevision),0,,,,Public expenditure | none | none,37.82,1737349,84.74,15.26,,
111,Country,Switzerland,481,02/12/2001,"""For a guaranteed old age-, widows- and orphans insurance - Impose a tax on energy not work!""",Volksinitiative 'für eine gesicherte AHV - Energie statt Arbeit besteuern!',Initiative populaire «pour garantir l'AVS - taxer l'énergie et non le travail!»,Iniziativa popolare 'per garantire l'AVS - tassare l'energia e non il lavoro!',,,,,,65,119,5,0,36,,Rejection,4712223,78553,1783507,37319,6440,397747,1342001,,23,none,,,,,,Initiative (Formulated Draft),113153,,Grüne Partei der Schweiz GPS Parti écologiste suisse,,Energy policy | Indirect taxation | Pension insurance,37.85,1739748,22.86,77.14,no,
112,Country,Switzerland,482,02/12/2001,"""For a credible security policy and Switzerland without an army""",Volksinitiative 'für eine glaubwürdige Sicherheitspolitik und eine Schweiz ohne Armee',Initiative populaire «Pour une politique de sécurité crédible et une Suisse sans armée»,Iniziativa popolare 'per una politica di sicurezza credibile e una Svizzera senza esercito',,,,,,44,137,11,0,41,,Rejection,4712223,78553,1787298,23609,6364,384905,1372420,,23,none,,,,,,Initiative (Formulated Draft),110108,,Gruppe für eine Schweiz ohne Armee  GSoA Groupe pour une Suisse sans armée  GSsA Groupe pour une Suisse sans armée  GSsA,,Abolition of the armed forces | none | none,37.93,1757325,21.9,78.1,no,
113,Country,Switzerland,483,02/12/2001,"""Solidarity creates security: for a voluntary civilian peace service""",Volksinitiative 'Solidarität schafft Sicherheit: Für einen freiwilligen Zivilen Friedensdienst (ZFD)',Initiative populaire «La solidarité crée la sécurité: pour un service civil volontaire pour la paix (SCP)»,Iniziativa popolare 'la solidarietà crea sicurezza: per un servizio civile volontario per la pace (SCP)',,,,,,68,120,,5,36,,Rejection,4712223,78553,1783860,33323,6446,404870,1339221,,23,none,,,,,,Initiative (Formulated Draft),113299,,Gruppe für eine Schweiz ohne Armee GSoA Groupe pour une Suisse sans armée GSsA Groupe pour une Suisse sans armée GSsA,,"Conscientious objection, Civilian service | none | none",37.86,1744091,23.21,76.79,no,
114,Country,Switzerland,484,02/12/2001,"""For a capital gains tax""",Volksinitiative 'für eine Kapitalgewinnsteuer',Initiative populaire «Pour un impôt sur les gains en capital»,Iniziativa popolare 'per un'imposta sugli utili da capitale',,,,,,65,120,8,6,35,,Rejection,4712223,78553,1783571,33048,6414,594927,1149182,,23,none,,,,,,Initiative (Formulated Draft),107407,,Schweizerischer Gewerkschaftsbund SGB Union syndicale suisse USS Unione sindacale svizzera USS,,Direct taxation | none | none,37.85,1744109,34.11,65.89,no,
115,Country,Switzerland,477,10/06/2001,Law on army and military authorities (Weapons),Aenderung vom 06.10.2000 des Bundesgesetzes über die Armee und die Militärverwaltung (Militärgesetz  MG) (Bewaffnung),Modification de la loi fédérale sur l'armée et l'administration militaire (LAAM) (Armement),"Modifica del 06.10.2000 della legge federale sull'esercito e sull'amministrazione militare (Legge militare, LM) (Armamento)",,,,,,109,59,15,38,2,,Acceptance,4698248,76057,1997663,23136,8920,1002271,963336,,,none,,,,,,Optional Legislative Referendum (Federal Statutes),122462,,,,Armed forces - general | International deployment | none,42.52,1965607,50.99,49.01,yes,
116,Country,Switzerland,478,10/06/2001,Law on army and military authorities (Training),Aenderung vom 06.10.2000 des Bundesgesetzes über die Armee und die Militärverwaltung (Militärgesetz  MG) (Ausbildungszusammenarbeit),Modification de la loi fédérale sur l'armée et l'administration militaire (LAAM) (Coopération en matière d'instruction),"Modifica del 06.10.2000 della legge federale sull'esercito e sull'amministrazione militare (Legge militare, LM) (Cooperazione in materia di istruzione)",,,,,,126,46,9,38,0,,Acceptance,4698248,76057,1996725,29943,8986,1001300,956496,,,none,,,,,,Optional Legislative Referendum (Federal Statutes),66932,,,,Military training | International deployment | none,42.5,1957796,51.14,48.86,yes,
117,Country,Switzerland,479,10/06/2001,Lifting obligation to ask permission to create new bishoprics,Bundesbeschluss vom 15. Dezember 2000 über die Aufhebung der Genehmigungspflicht für die Errichtung von Bistümern,Arrêté fédéral portant abrogation de la disposition constitutionnelle soumettant l'érection des évêchés à l'approbation de la Confédération,Decreto federale del 15 dicembre 2000 concernente la soppressione dell'obbligo d'approvazione per l'istituzione di diocesi,,,,,,170,17,4,38,0,,Acceptance,4698248,76057,1975658,104957,10037,1194556,666108,23,,none,,,,,,Constitutional Referendum (Partialrevision),0,,,,Religion - churches | none | none,42.05,1860664,64.2,35.8,,
118,Country,Switzerland,474,04/03/2001,"""Yes to Europe""",Eidgenössische Volksinitiative 'Ja zu Europa',Initiative populaire fédérale «Oui à l'Europe!»,Iniziativa popolare 'Sì all'Europa!',,,,,,69,94,10,6,33,,Rejection,4688585,72754,2616119,24106,12247,597217,1982549,,23,none,,,,,,Initiative (Formulated Draft),106442,,Initiative 'Ja zu Europa!' Initiative 'Oui à l'Europe!',,EU | none | none,55.8,2579766,23.15,76.85,no,
119,Country,Switzerland,475,04/03/2001,"""For lower-priced medication""",Eidgenössische Volksinitiative 'für tiefere Arzneimittelpreise',Initiative populaire fédérale 'pour des médicaments à moindre prix»,Iniziativa popolare 'Per farmaci a prezzi più bassi',,,,,,0,76,38,0,36,,Rejection,4688585,72754,2612008,33816,12474,791589,1774129,,23,none,,,,,,Initiative (Formulated Draft),127085,,Initiativkomitee: Denner AG  Generalsekretariat Comité d'initiative  Denner AG,,Medicines | none | none,55.71,2565718,30.85,69.15,no,
120,Country,Switzerland,476,04/03/2001,"""For greater traffic safety based on a speed limit of 30kph in built-up areas with exceptions (Roads for everyone)""",Eidgenössische Volksinitiative 'für mehr Verkehrssicherheit durch Tempo 30 innerorts mit Ausnahmen (Strassen für alle)',Initiative populaire fédérale «Pour plus de sécurité à l'intérieur des localités grâce à une vitesse maximale de 30 km/h assortie d'exceptions (Rues pour tous)»,"Iniziativa popolare 'per una maggior sicurezza stradale grazie alla velocità massima dei 30 km/h nelle località, con eccezioni (Strade per tutti)'",,,,,,68,118,Not known,7,34,Not known,Rejection,4688585,72754,2616139,15095,12121,525609,2063314,,23,none,,,,,,Initiative (Formulated Draft),112395,,Verkehrs-Club der Schweiz VCS Association transports et environnement ATE Associazione Traffico e Ambiente ATA,,Road transport | Environmental policy | none,55.8,2588923,20.3,79.7,no,
121,Country,Switzerland,469,26/11/2000,"""For a more flexible old age-, widows- and orphans insurance - Against raising the retirement age for women""",Volksinitiative 'für eine Flexibilisierung der AHV - gegen die Erhöhung des Rentenalters für Frauen',Initiative populaire «Pour un assouplissement de l'AVS - contre le relèvement de l'âge de la retraite des femmes»,Iniziativa popolare 'a favore di un'AVS flessibile - contro l'aumento dell'età di pensionamento per le donne',,,,,,67,110,3,5,39,,Rejection,4680971,72582,1950308,27527,6650,756337,1159794,6,17,none,,,,,,Initiative (Formulated Draft),143405,,Schweizerischer Kaufmännischer Verband Société suisse des employés de commerce,,Pension insurance | Status of women | none,41.66,1916131,39.47,60.53,no,
122,Country,Switzerland,470,26/11/2000,"""For a flexible retirement age for men and women over 62""",Volksinitiative 'für ein flexibles Rentenalter ab 62 für Frau und Mann',Initiative populaire fédérale «Pour une retraite à la carte dès 62 ans tant pour les femmes que pour les hommes»,Iniziativa popolare 'per un'età pensionabile flessibile: dai 62 anni per donne e uomini',,,,,,65,107,8,5,39,,Rejection,4680971,72582,1952766,21625,6384,885772,1038985,7,16,none,,,,,,Initiative (Formulated Draft),116636,,Grüne Partei der Schweiz GPS Parti écologiste suisse,,Pension insurance | Status of women | none,41.72,1924757,46.02,53.98,no,
123,Country,Switzerland,471,26/11/2000,"""Saving on army and defence spending - for more peace and sustainable jobs (Redistribution initiative)""",Volksinitiative 'Sparen beim Militär und der Gesamtverteidigung - für mehr Frieden und zukunftsgerichtete Arbeitsplätze (Umverteilungsinitiative)',Initiative populaire «Economiser dans l'armée et la défense générale - pour davantage de paix et d'emplois d'avenir» (Initiative en faveur d'une redistribution des dépenses),Iniziativa popolare 'Risparmi nel settore militare e della difesa integrata - per più pace e posti di lavoro con un futuro (Iniziativa ridistributiva)',,,,,,62,122,1,6,36,,Rejection,4680971,72582,1952765,24339,6456,723047,1198923,4,19,none,,,,,,Initiative (Formulated Draft),108541,,Initiativkomitee Umverteilungsinitiative Initiativkomitee Umverteilungsinitiative,,Armed forces - general | none | none,41.72,1921970,37.62,62.38,no,
